application_id,scenario_id,metric_id,risk_transform,raw_baseline,raw_comparison,risk_baseline,risk_comparison,kappa_reported,xi_reported,kappa_calculated,xi_calculated,kappa_abs_error_vs_reported,xi_abs_error_vs_reported,scenario_class,scenario_type,included_in_core_statistics,kappa_tolerance,xi_tolerance
AI.04,AI.04.C1,effective_throughput_ratio,health,0.58,0.84264,0.42,0.15736,0.374667,735.0,0.3746666666666667,735.000492485859,3.333333332689037e-07,0.0004924858590129588,Cross-Layer Control Conflict,core,True,0.001,1.0
AI.04,AI.04.C1,control_overhead_ratio,risk,0.32,0.112021,0.32,0.112021,0.350065,760.0,0.350065625,759.9993347576284,6.249999999763389e-07,0.000665242371610475,Cross-Layer Control Conflict,core,True,0.001,1.0
AI.04,AI.04.C1,decision_conflict_rate,risk,0.24,0.078993,0.24,0.078993,0.329136,782.0,0.32913749999999997,781.9983223966607,1.4999999999876223e-06,0.001677603339317102,Cross-Layer Control Conflict,core,True,0.001,1.0
AI.04,AI.04.C1,policy_latency_distortion,risk,0.29,0.088022,0.29,0.088022,0.303526,810.0,0.3035241379310345,810.0015295390897,1.8620689655191036e-06,0.0015295390896881145,Cross-Layer Control Conflict,core,True,0.001,1.0
AI.04,AI.04.C1,runtime_regularization_index,health,0.61,0.861582,0.39,0.138418,0.354917,755.0,0.35491794871794874,754.9991772513345,9.487179487566166e-07,0.0008227486655414395,Cross-Layer Control Conflict,core,True,0.001,1.0
AI.04,AI.04.C2,actual_attempt_multiplier,multiplier,3.4,1.532919,2.4,0.532919,0.22205,910.0,0.22204958333333336,910.0000172778215,4.1666666664164076e-07,1.72778214846403e-05,Retry Amplification,core,True,0.001,1.0
AI.04,AI.04.C2,cost_per_successful_completion,multiplier,1.87,1.17465,0.87,0.17465,0.200747,940.0,0.2007471264367816,939.9994242542721,1.2643678160007e-07,0.0005757457279287337,Retry Amplification,core,True,0.001,1.0
AI.04,AI.04.C2,retry_cascade_frequency,risk,0.28,0.050651,0.28,0.050651,0.180895,970.0,0.18089642857142857,969.9976466248506,1.4285714285688922e-06,0.0023533751493687305,Retry Amplification,core,True,0.001,1.0
AI.04,AI.04.C2,cost_attribution_accuracy,health,0.34,0.894703,0.66,0.105297,0.159541,1005.0,0.1595409090909091,1004.9998429080712,9.090909089404242e-08,0.00015709192882695788,Retry Amplification,core,True,0.001,1.0
AI.04,AI.04.C2,capacity_planning_error,risk,0.41,0.08372,0.41,0.08372,0.204196,935.0,0.20419512195121953,935.0013706881061,8.780487804616044e-07,0.001370688106135276,Retry Amplification,core,True,0.001,1.0
AI.04,AI.04.C3,control_oscillation_amplitude,risk,0.36,0.115812,0.36,0.115812,0.321699,790.0,0.3217,789.9992384324011,9.999999999732445e-07,0.0007615675989427473,Control Oscillation,core,True,0.001,1.0
AI.04,AI.04.C3,throughput_variance,risk,0.31,0.091347,0.31,0.091347,0.294667,820.0,0.29466774193548384,819.998740033085,7.41935483827838e-07,0.0012599669149722104,Control Oscillation,core,True,0.001,1.0
AI.04,AI.04.C3,control_loop_phase_lag,risk,0.27,0.073764,0.27,0.073764,0.273199,845.0,0.27319999999999994,844.9993560073037,9.999999999177334e-07,0.0006439926962684694,Control Oscillation,core,True,0.001,1.0
AI.04,AI.04.C3,effective_capacity_ratio,health,0.64,0.890731,0.36,0.109269,0.303526,810.0,0.30352500000000004,810.0005647756165,9.999999999732445e-07,0.0005647756164535167,Control Oscillation,core,True,0.001,1.0
AI.04,AI.04.C3,admission_routing_jitter,risk,0.22,0.059185,0.22,0.059185,0.269024,850.0,0.2690227272727273,850.0016821252182,1.2727272726831274e-06,0.0016821252181671298,Control Oscillation,core,True,0.001,1.0
AI.04,AI.04.B1,sla_margin_utilization,risk,0.74,0.129202,0.74,0.129202,0.174597,980.0,0.1745972972972973,979.9994537773337,2.9729729730809673e-07,0.0005462226663439651,SLA Boundary Occupation,boundary,True,0.001,1.0
AI.04,AI.04.B1,tail_latency_instability,risk,0.42,0.054511,0.42,0.054511,0.129789,1060.0,0.12978809523809523,1060.0010243478482,9.047619047575228e-07,0.0010243478482152568,SLA Boundary Occupation,boundary,True,0.001,1.0
AI.04,AI.04.B1,capacity_reserve_adequacy,health,0.38,0.933931,0.62,0.066069,0.106563,1110.0,0.10656290322580646,1110.000320094887,9.677419354758854e-08,0.0003200948870016873,SLA Boundary Occupation,boundary,True,0.001,1.0
AI.04,AI.04.B1,policy_pressure_index,risk,0.51,0.033362,0.51,0.033362,0.065416,1225.0,0.0654156862745098,1225.000205686965,3.1372549019748064e-07,0.00020568696504597028,SLA Boundary Occupation,boundary,True,0.001,1.0
AI.04,AI.04.B1,rejection_burst_frequency,risk,0.34,0.048535,0.34,0.048535,0.142749,1035.0,0.14275,1034.9973428808944,1.000000000001e-06,0.002657119105606398,SLA Boundary Occupation,boundary,True,0.001,1.0
AI.04,AI.04.O1,topology_control_coupling,risk,0.38,0.133025,0.38,0.133025,0.350065,760.0,0.3500657894736842,759.9991646624665,7.894736842040118e-07,0.000835337533544589,Control plus Infrastructure Coupling,overlap,True,0.001,1.0
AI.04,AI.04.O1,placement_retry_cascade,risk,0.31,0.083397,0.31,0.083397,0.269024,850.0,0.26902258064516127,850.0018585522856,1.419354838716469e-06,0.001858552285625592,Control plus Infrastructure Coupling,overlap,True,0.001,1.0
AI.04,AI.04.O1,interconnect_control_latency,risk,0.44,0.068924,0.44,0.068924,0.156646,1010.0,0.15664545454545453,1010.0016696432892,5.454545454752768e-07,0.0016696432892331359,Control plus Infrastructure Coupling,overlap,True,0.001,1.0
AI.04,AI.04.O1,effective_capacity_loss,risk,0.36,0.038363,0.36,0.038363,0.106563,1110.0,0.1065638888888889,1109.998027348301,8.888888888974877e-07,0.0019726516989067022,Control plus Infrastructure Coupling,overlap,True,0.001,1.0
AI.04,AI.04.O1,scheduler_topology_conflict,risk,0.29,0.060229,0.29,0.060229,0.207686,930.0,0.20768620689655173,929.9994367505477,2.0689655172434485e-07,0.0005632494522842535,Control plus Infrastructure Coupling,overlap,True,0.001,1.0
AI.04,AI.04.O1,cross_layer_queue_instability,risk,0.33,0.026279,0.33,0.026279,0.079633,1180.0,0.07963333333333333,1180.000181454172,3.333333333382926e-07,0.00018145417197956704,Control plus Infrastructure Coupling,overlap,True,0.001,1.0
AI.04,AI.04.O2,agent_runtime_retry_loop,risk,0.46,0.16103,0.46,0.16103,0.350065,760.0,0.35006521739130436,759.9997562979928,2.1739130434683673e-07,0.00024370200719658897,Control plus Agentic Execution,overlap,True,0.001,1.0
AI.04,AI.04.O2,tool_control_attempt_multiplier,multiplier,2.2,1.293773,1.2,0.293773,0.244811,880.0,0.24481083333333334,880.0001944650919,1.6666666666220742e-07,0.00019446509190856887,Control plus Agentic Execution,overlap,True,0.001,1.0
