id,label,weight,role
1,O_01,0.0909090909,resonance_projector
2,O_02,0.0909090909,resonance_projector
3,O_03,0.0909090909,resonance_projector
4,O_04,0.0909090909,resonance_projector
5,O_05,0.0909090909,resonance_projector
6,O_06,0.0909090909,resonance_projector
7,O_07,0.0909090909,resonance_projector
8,O_08,0.0909090909,resonance_projector
9,O_09,0.0909090909,resonance_projector
10,O_10,0.0909090909,resonance_projector
11,O_11,0.0909090909,resonance_projector
12,O_12,-0.0909090909,resonance_projector
13,O_13,-0.0909090909,resonance_projector
14,O_14,-0.0909090909,resonance_projector
15,O_15,-0.0909090909,resonance_projector
16,O_16,-0.0909090909,resonance_projector
17,O_17,-0.0909090909,resonance_projector
18,O_18,-0.0909090909,resonance_projector
19,O_19,-0.0909090909,resonance_projector
20,O_20,-0.0909090909,resonance_projector
21,O_21,-0.0909090909,resonance_projector
22,O_22,-0.0909090909,resonance_projector
